Instrument,Action,Quantity,Price,Time,ID,E/X,Position,Order ID,Name,Commission,Rate,Account display name,Connection,
MNQ 06-26,Sell,2,30326.75,5/28/2026 3:49:30 PM,516926281037_1,Exit,1 L,516926281037,Stop2,$0.00,1,LFE05067526360017,Lucid,
MNQ 06-26,Sell,2,30326.75,5/28/2026 3:49:30 PM,516926281043_1,Exit,3 L,516926281043,Stop3,$0.00,1,LFE05067526360017,Lucid,
MNQ 06-26,Sell,2,30329.00,5/28/2026 3:49:07 PM,516926281034_1,Exit,5 L,516926281034,Target1,$0.00,1,LFE05067526360017,Lucid,
MNQ 06-26,Buy,6,30322.75,5/28/2026 3:46:49 PM,516926281025_1,Entry,7 L,516926281025,Entry,$0.00,1,LFE05067526360017,Lucid,
MNQ 06-26,Sell,2,30290.25,5/28/2026 3:00:13 PM,f95d420d3c4248d5acfeb55f7b481dcb,Exit,-,6ab7f128791d4af58ca3eb37198f1a94,Stop3,$0.00,1,SimGZKHistory,Lucid,
MNQ 06-26,Sell,2,30290.25,5/28/2026 3:00:13 PM,17d52c68006a4584b638789e1a781d9c,Exit,2 L,68780a2e142d4db2baec17b3dfe29aec,Stop2,$0.00,1,SimGZKHistory,Lucid,
MNQ 06-26,Sell,2,30290.25,5/28/2026 3:00:13 PM,0496f9a7bdc242269d310812081c697a,Exit,4 L,b3765f1289034e40a7f630c6e99a17d5,Stop1,$0.00,1,SimGZKHistory,Lucid,
MNQ 06-26,Sell,2,30290.25,5/28/2026 3:00:12 PM,516926280983_1,Exit,1 L,516926280983,Stop1,$0.00,1,LFE05067526360017,Lucid,
MNQ 06-26,Sell,2,30290.25,5/28/2026 3:00:12 PM,516926280989_1,Exit,3 L,516926280989,Stop2,$0.00,1,LFE05067526360017,Lucid,
MNQ 06-26,Sell,2,30290.25,5/28/2026 3:00:12 PM,516926280995_1,Exit,5 L,516926280995,Stop3,$0.00,1,LFE05067526360017,Lucid,
MNQ 06-26,Buy,4,30315.50,5/28/2026 2:55:43 PM,50334a5c1eb94f78baf295d45ce722c1,Entry,6 L,d46ba9a15c0b4a43be496659e73c309e,Entry,$0.00,1,SimGZKHistory,Lucid,
MNQ 06-26,Buy,2,30315.25,5/28/2026 2:55:43 PM,a8e3545ac6674487b5b260972488fd8b,Entry,2 L,d46ba9a15c0b4a43be496659e73c309e,Entry,$0.00,1,SimGZKHistory,Lucid,
MNQ 06-26,Buy,6,30315.25,5/28/2026 2:55:43 PM,516926280977_1,Entry,7 L,516926280977,Entry,$0.00,1,LFE05067526360017,Lucid,
MNQ 06-26,Sell,2,30318.75,5/28/2026 1:41:25 PM,c973d3f80e574cdeb4d14e32d2149880,Exit,-,0fd72695ee8b446789f679cce25903da,Stop3,$1.70,1,Sim101,Lucid,
MNQ 06-26,Sell,2,30318.75,5/28/2026 1:41:25 PM,4a6ce478ea75479680e6e68cdd96fae1,Exit,2 L,3df3bdf7c6384143a41a844f431af471,Stop2,$1.70,1,Sim101,Lucid,
MNQ 06-26,Sell,1,30322.50,5/28/2026 1:41:22 PM,a5d1acfafc9547ef8825709af83f7aef,Exit,4 L,2250baa72c704a4e9ca033b5fa7f5c28,Target1,$0.85,1,Sim101,Lucid,
MNQ 06-26,Sell,1,30322.50,5/28/2026 1:41:22 PM,292193144ada4a32bc4c17bfa4ae6086,Exit,5 L,2250baa72c704a4e9ca033b5fa7f5c28,Target1,$0.85,1,Sim101,Lucid,
MNQ 06-26,Buy,4,30316.50,5/28/2026 1:41:15 PM,0d7d57781a1740838eeaba93ef0fb47d,Entry,6 L,6f6e4739644c4b9bbe17a83e2035155a,Entry,$3.40,1,Sim101,Lucid,
MNQ 06-26,Buy,2,30316.25,5/28/2026 1:41:15 PM,0a2f1a1583bf4b1299412f44b7b081ec,Entry,2 L,6f6e4739644c4b9bbe17a83e2035155a,Entry,$1.70,1,Sim101,Lucid,
MNQ 06-26,Sell,2,30183.25,5/28/2026 10:56:50 AM,842cb1d5a7ba499b8f7e1ed7ad063d90,Exit,-,c174e19aadfd437eafe6e710e54b1808,Target3,$1.70,1,Sim101,Lucid,
MNQ 06-26,Sell,2,30170.75,5/28/2026 10:53:24 AM,75798d6d9d0e4eedabc96edac15f1aed,Exit,2 L,9d804a9c3ea24fa18db88f3189a09332,Target2,$1.70,1,Sim101,Lucid,
MNQ 06-26,Sell,1,30164.50,5/28/2026 10:52:56 AM,6b0f248a7cf6491c9ce4cf289c59f264,Exit,4 L,18233f21bd5e45a7b3db37fa7478278d,Target1,$0.85,1,Sim101,Lucid,
MNQ 06-26,Sell,1,30164.50,5/28/2026 10:52:56 AM,71a47297513a40779aeebb7de8971739,Exit,5 L,18233f21bd5e45a7b3db37fa7478278d,Target1,$0.85,1,Sim101,Lucid,
MNQ 06-26,Buy,6,30158.25,5/28/2026 10:50:55 AM,dcca5771396c4e88882fd8aaa1634989,Entry,6 L,d9d996f410554d9fb7b8e2057cbd051d,Entry,$5.10,1,Sim101,Lucid,
MNQ 06-26,Sell,2,30145.50,5/28/2026 10:41:53 AM,6fd4955405c14d1c8a864b1a00c58891,Exit,-,e4309256f2a84427becf7b2e7b70d1a2,Stop3,$1.70,1,Sim101,Lucid,
